Position,Name,Year,URL,Description
1,12 Angry Men,1957,https://boxd.it/2auI,#591
2,12 Years a Slave,2013,https://boxd.it/2D2e,
3,1917,2019,https://boxd.it/jj4y,
4,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
5,The 39 Steps,1935,https://boxd.it/2aKc,#56
6,"4 Months, 3 Weeks and 2 Days",2007,https://boxd.it/27DW,#958
7,8½,1963,https://boxd.it/2aqm,#140
8,Ace in the Hole,1951,https://boxd.it/1vXk,#396
9,Ad Astra,2019,https://boxd.it/ePzI,
10,After the Rehearsal,1984,https://boxd.it/XLO,
11,The Age of Innocence,1993,https://boxd.it/1WgM,#913
12,Agnès Varda: From Here to There,2011,https://boxd.it/6AG4,
13,Alien,1979,https://boxd.it/2awY,
14,All That Jazz,1979,https://boxd.it/1JB8,#724
15,All These Women,1964,https://boxd.it/3kGG,
16,American Beauty,1999,https://boxd.it/71Y,
17,American Hustle,2013,https://boxd.it/5dz8,
18,American Sniper,2014,https://boxd.it/5LDy,
19,Amélie,2001,https://boxd.it/2aUc,
20,Anatomy of a Murder,1959,https://boxd.it/2baa,#600
21,Andrei Rublev,1966,https://boxd.it/29lg,#34
22,Animal House,1978,https://boxd.it/2062,
23,Antichrist,2009,https://boxd.it/1Inu,#542
24,Aparajito,1956,https://boxd.it/29kW,#784
25,Apocalypse Now,1979,https://boxd.it/6ZS,
26,Apollo 13,1995,https://boxd.it/2a6G,
27,Aquaman,2018,https://boxd.it/9ru0,
28,Arrival,2016,https://boxd.it/aNGk,
29,The Artist,2011,https://boxd.it/2AwK,
30,The Ascent,1977,https://boxd.it/Eew,#1063
31,Autumn Sonata,1978,https://boxd.it/1Rio,#60 : Bergman Box
32,Avatar,2009,https://boxd.it/1Efm,
33,The Avengers,2012,https://boxd.it/1xFW,
34,The Aviator,2004,https://boxd.it/26BU,
35,Babette's Feast,1987,https://boxd.it/1SYU,#665
36,Badlands,1973,https://boxd.it/25Fm,#651
37,Barry Lyndon,1975,https://boxd.it/25A2,#897
38,Batman,1989,https://boxd.it/2aIU,
39,The Batman,2022,https://boxd.it/eDGs,
40,The Beaches of Agnès,2008,https://boxd.it/14Y6,
41,Beetlejuice,1988,https://boxd.it/24QI,
42,Before Midnight,2013,https://boxd.it/4ive,#856
43,Before Sunrise,1995,https://boxd.it/2bcU,#856
44,Before Sunset,2004,https://boxd.it/2bcg,#856
45,Being There,1979,https://boxd.it/1WxS,
46,The Big City,1963,https://boxd.it/fI2,#668
47,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,
48,The Birds,1963,https://boxd.it/2a6m,
49,Black Panthers,1968,https://boxd.it/4BCe,
50,The Black Stallion,1979,https://boxd.it/1IUy,#765
51,Blade Runner,1982,https://boxd.it/2bcA,
52,Blade Runner 2049,2017,https://boxd.it/b8wK,
53,The Blair Witch Project,1999,https://boxd.it/26ua,
54,Blow Out,1981,https://boxd.it/1TlE,#562
55,Blue Velvet,1986,https://boxd.it/29BI,#977
56,The Bourne Identity,2002,https://boxd.it/26EO,
57,The Bourne Supremacy,2004,https://boxd.it/26EE,
58,The Bourne Ultimatum,2007,https://boxd.it/26Eu,
59,Braveheart,1995,https://boxd.it/2aTI,
60,Brief Encounter,1945,https://boxd.it/29sm,#76
61,A Brighter Summer Day,1991,https://boxd.it/1Luy,#804
62,Brink of Life,1958,https://boxd.it/eXg,
63,Broadcast News,1987,https://boxd.it/1RxS,#552
64,The Cameraman,1928,https://boxd.it/1jag,#1033
65,Carnival of Souls,1962,https://boxd.it/1KQ4,#63
66,Casablanca,1942,https://boxd.it/2aG0,
67,Casino Royale,2006,https://boxd.it/1alk,
68,Certified Copy,2010,https://boxd.it/IMW,#612
69,Céline and Julie Go Boating,1974,https://boxd.it/1sGA,#1069
70,Cinema Paradiso,1988,https://boxd.it/1UlA,
71,Citizen Kane,1941,https://boxd.it/71O,#1104
72,Cléo from 5 to 7,1962,https://boxd.it/2agm,#73: Varda Box
73,Close Encounters of the Third Kind,1977,https://boxd.it/29u8,
74,Cold Mountain,2003,https://boxd.it/270A,
75,Come and See,1985,https://boxd.it/1w9q,#1035
76,Constantine,2005,https://boxd.it/2a7E,
77,Crash,1996,https://boxd.it/29n2,#1059
78,The Creatures,1966,https://boxd.it/xxQ,
79,The Cremator,1969,https://boxd.it/1H8y,#1023
80,Cries and Whispers,1972,https://boxd.it/1WK8,#101: Bergman Box
81,Crisis,1946,https://boxd.it/1kGs,
82,Daguerréotypes,1975,https://boxd.it/FxY,
83,Daisies,1966,https://boxd.it/LZk,#1157
84,The Dark Knight,2008,https://boxd.it/2b0k,
85,The Dark Knight Rises,2012,https://boxd.it/H3m,
86,Days of Heaven,1978,https://boxd.it/1JRg,#409
87,Dazed and Confused,1993,https://boxd.it/1Ylk,#336
88,Deep Cover,1992,https://boxd.it/1D5g,#1086
89,Dekalog,1989,https://boxd.it/bv4u,#837
90,The Departed,2006,https://boxd.it/28MA,
91,The Devil's Eye,1960,https://boxd.it/JaO,
92,Die Hard,1988,https://boxd.it/2a7u,
93,Dinosaur,2000,https://boxd.it/1VWi,
